"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
42,42,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SMEM",262144.000000,460692137525083,460692137558603
42,42,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VALU",1310720.000000,460692137525083,460692137558603
42,42,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_VMEM",262144.000000,460692137525083,460692137558603
43,43,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS",969170944.000000,460692137645175,460692144620523
43,43,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SALU",160276480.000000,460692137645175,460692144620523
43,43,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_SMEM",98304.000000,460692137645175,460692144620523
43,43,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VALU",554467328.000000,460692137645175,460692144620523
43,43,"Agent 2",1,1022608,1022608,524288,1510,"mxfp4_gluon_cpp_kernel(gluon_globals)",256,131072,0,256,0,112,"SQ_INSTS_VMEM",84475904.000000,460692137645175,460692144620523
44,44,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS",5767168.000000,460692144683203,460692144716643
44,44,"Agent 2",1,1022608,1022608,16777216,786,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",256,0,0,4,0,16,"SQ_INSTS_SALU",2883584.000000,460692144683203,460692144716643
