shape	M	N	K	policy	rep	layout	tflops	avg_ms	build_md5
8B_GateUp_4kx14kx4k	4096	14336	4096	0	2	RRR	2565.51	0.1875	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	0	2	CRR	2372.61	0.2027	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	0	3	RCR	2587.41	0.1859	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	0	3	RRR	2558.60	0.1880	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	0	3	CRR	2370.28	0.2029	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	1	1	RCR	2587.98	0.1859	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	1	1	RRR	2558.70	0.1880	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	1	1	CRR	2369.00	0.2031	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	1	2	RCR	2587.93	0.1859	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	1	2	RRR	2563.12	0.1877	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	1	2	CRR	2371.13	0.2029	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	1	3	RCR	2591.46	0.1856	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	1	3	RRR	2558.93	0.1880	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	1	3	CRR	2374.28	0.2026	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	2	1	RCR	2475.83	0.1943	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	2	1	RRR	2458.79	0.1956	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	2	1	CRR	2273.11	0.2116	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	2	2	RCR	2475.39	0.1943	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	2	2	RRR	2461.19	0.1954	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	2	2	CRR	2271.80	0.2117	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	2	3	RCR	2438.00	0.1973	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	2	3	RRR	2422.84	0.1985	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	2	3	CRR	2240.92	0.2147	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	3	1	RCR	2454.85	0.1960	e6dc92f1d58366aa67cf45fa024b9708
8B_GateUp_4kx14kx4k	4096	14336	4096	3	1	RRR	2458.34	0.1957	e6dc92f1d58366aa67cf45fa024b9708
8B_GateUp_4kx14kx4k	4096	14336	4096	3	1	CRR	2271.67	0.2118	e6dc92f1d58366aa67cf45fa024b9708
8B_GateUp_4kx14kx4k	4096	14336	4096	3	2	RCR	2468.97	0.1948	e6dc92f1d58366aa67cf45fa024b9708
8B_GateUp_4kx14kx4k	4096	14336	4096	3	2	RRR	2461.62	0.1954	e6dc92f1d58366aa67cf45fa024b9708
8B_GateUp_4kx14kx4k	4096	14336	4096	3	2	CRR	2269.57	0.2120	e6dc92f1d58366aa67cf45fa024b9708
8B_GateUp_4kx14kx4k	4096	14336	4096	3	3	RCR	2472.93	0.1945	e6dc92f1d58366aa67cf45fa024b9708
8B_GateUp_4kx14kx4k	4096	14336	4096	3	3	RRR	2457.25	0.1958	e6dc92f1d58366aa67cf45fa024b9708
8B_GateUp_4kx14kx4k	4096	14336	4096	3	3	CRR	2277.87	0.2112	e6dc92f1d58366aa67cf45fa024b9708
8B_Down_4kx4kx14k	4096	4096	14336	0	1	RCR	2950.55	0.1630	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	0	1	RRR	2932.59	0.1640	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	0	1	CRR	2723.71	0.1766	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	0	2	RCR	2947.26	0.1632	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	0	2	RRR	2929.34	0.1642	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	0	2	CRR	2723.15	0.1766	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	0	3	RCR	2947.27	0.1632	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	0	3	RRR	2934.50	0.1639	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	0	3	CRR	2717.54	0.1770	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	1	1	RCR	2956.68	0.1627	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	1	1	RRR	2939.98	0.1636	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	1	1	CRR	2722.46	0.1767	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	1	2	RCR	2947.40	0.1632	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	1	2	RRR	2932.27	0.1640	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	1	2	CRR	2721.48	0.1768	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	1	3	RCR	2948.31	0.1632	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	1	3	RRR	2928.57	0.1643	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	1	3	CRR	2723.04	0.1767	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	2	1	RCR	2872.96	0.1674	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	2	1	RRR	2857.07	0.1684	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	2	1	CRR	2681.03	0.1794	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	2	2	RCR	2876.87	0.1672	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	2	2	RRR	2873.66	0.1674	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	2	2	CRR	2698.85	0.1782	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	2	3	RCR	2874.04	0.1674	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	2	3	RRR	2863.11	0.1680	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	2	3	CRR	2693.65	0.1786	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	3	1	RCR	2868.92	0.1677	dd372c8fe42afc44346b610715844675
8B_Down_4kx4kx14k	4096	4096	14336	3	1	RRR	2867.05	0.1678	dd372c8fe42afc44346b610715844675
8B_Down_4kx4kx14k	4096	4096	14336	3	1	CRR	2691.08	0.1788	dd372c8fe42afc44346b610715844675
8B_Down_4kx4kx14k	4096	4096	14336	3	2	RCR	2871.87	0.1675	dd372c8fe42afc44346b610715844675
8B_Down_4kx4kx14k	4096	4096	14336	3	2	RRR	2860.99	0.1681	dd372c8fe42afc44346b610715844675
8B_Down_4kx4kx14k	4096	4096	14336	3	2	CRR	2688.62	0.1789	dd372c8fe42afc44346b610715844675
8B_Down_4kx4kx14k	4096	4096	14336	3	3	RCR	2838.25	0.1695	dd372c8fe42afc44346b610715844675
8B_Down_4kx4kx14k	4096	4096	14336	3	3	RRR	2868.15	0.1677	dd372c8fe42afc44346b610715844675
8B_Down_4kx4kx14k	4096	4096	14336	3	3	CRR	2696.64	0.1784	dd372c8fe42afc44346b610715844675
